item_id,kind,name,category,lat,lon,coord_quality,address,ward,machiaza,google_place_id,google_rating,google_reviews,google_lat,google_lon,picked_by,picked_at,note
"飲食店:京香房:35.706741,139.783768",飲食店,京香房,飲食店営業（一般・ラーメン）,35.706741,139.783768,point,小島二丁目１８番１２号,台東区,小島,,,,,,前田陽輝,2026-08-17T11:18:24.792Z,
"飲食店:中華そば　新:35.706707,139.784088",飲食店,中華そば　新,飲食店営業（一般・ラーメン）,35.706707,139.784088,point,小島二丁目１８番１４号,台東区,小島,,,,,,前田陽輝,2026-08-17T11:18:25.654Z,
"飲食店:麺処　晴:35.719757,139.783279",飲食店,麺処　晴,飲食店営業（一般・ラーメン）,35.719757,139.783279,point,下谷一丁目１１番７号,台東区,下谷,,,,,,前田陽輝,2026-08-17T11:18:26.349Z,
"飲食店:Ｃｒａｆｔ　Ｒａｍｅｎ　ＢｉＴ:35.719398,139.782745",飲食店,Ｃｒａｆｔ　Ｒａｍｅｎ　ＢｉＴ,飲食店営業（一般・ラーメン）,35.719398,139.782745,point,下谷一丁目１２番２５号,台東区,下谷,,,,,,前田陽輝,2026-08-17T11:18:29.022Z,
"飲食店:支那そば大和:35.711315,139.783951",飲食店,支那そば大和,飲食店営業（一般・ラーメン）,35.711315,139.783951,point,東上野六丁目１番７号,台東区,東上野,,,,,,栗原,2026-08-17T11:18:34.037Z,
"飲食店:好美味　秋葉原店:35.702599,139.778076",飲食店,好美味　秋葉原店,飲食店営業（一般・ラーメン）,35.702599,139.778076,point,台東二丁目５番３号,台東区,台東,,,,,,前田陽輝,2026-08-17T11:18:34.702Z,
"飲食店:太幸結:35.703392,139.776794",飲食店,太幸結,飲食店営業（一般・ラーメン）,35.703392,139.776794,point,台東二丁目１０番９号,台東区,台東,,,,,,前田陽輝,2026-08-17T11:18:40.725Z,
"飲食店:リトルアジア:35.717709,139.79068",飲食店,リトルアジア,飲食店営業（一般・ラーメン）,35.717709,139.79068,point,西浅草三丁目２９番２０号,台東区,西浅草,,,,,,前田陽輝,2026-08-17T11:18:44.610Z,
"飲食店:海老塩ラーメン:35.724407,139.778671",飲食店,海老塩ラーメン,飲食店営業（一般・ラーメン）,35.724407,139.778671,point,根岸二丁目１６番１１号,台東区,根岸,,,,,,前田陽輝,2026-08-17T11:18:52.673Z,
"飲食店:江戸煮干中華そば　きみはん:35.722237,139.781631",飲食店,江戸煮干中華そば　きみはん,飲食店営業（一般・ラーメン）,35.722237,139.781631,point,根岸三丁目３番１８号,台東区,根岸,,,,,,前田陽輝,2026-08-17T11:18:56.705Z,
"飲食店:花とく:35.724743,139.781174",飲食店,花とく,飲食店営業（一般・とんかつ）,35.724743,139.781174,point,根岸三丁目２３番７号,台東区,根岸,,,,,,前田陽輝,2026-08-17T11:20:21.525Z,
"飲食店:牛かつ輝:35.71101,139.780594",飲食店,牛かつ輝,飲食店営業（一般・とんかつ）,35.71101,139.780594,point,東上野三丁目２８番４号,台東区,東上野,,,,,,前田陽輝,2026-08-17T11:20:25.511Z,
"飲食店:とんかつ　大和:35.703449,139.776901",飲食店,とんかつ　大和,飲食店営業（一般・とんかつ）,35.703449,139.776901,point,台東二丁目２６番２号,台東区,台東,,,,,,前田陽輝,2026-08-17T11:20:29.644Z,
"飲食店:りん:35.7243,139.783401",飲食店,りん,飲食店営業（一般・お好み焼きもんじゃ）,35.7243,139.783401,point,根岸四丁目２番２号,台東区,根岸,,,,,,前田陽輝,2026-08-17T11:21:10.524Z,
"飲食店:浅草　文字家:35.715179,139.790421",飲食店,浅草　文字家,飲食店営業（一般・お好み焼きもんじゃ）,35.715179,139.790421,point,西浅草三丁目１２番８号,台東区,西浅草,,,,,,前田陽輝,2026-08-17T11:21:15.064Z,
